requirement_id,requirement,design_documents,milestones,acceptance,status,implementation_evidence,operator_steps_or_tradeoffs
R11,Current and historical runs tools outputs,features/execution/README.md;features/dashboard/README.md,M6,Partial and final history replay,implemented_local_acceptance,tests/browser/dashboard.spec.ts;tests/integration/platform.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R12,Exposed reasoning summaries,features/execution/README.md;features/dashboard/README.md,M4;M6,Provider exposed data only,implemented_local_acceptance,packages/runtime/src;apps/web/components/runs.tsx,Only exposed provider summaries are stored; hidden chain of thought is unavailable.
R13,Custom MCP dashboard API OAuth,features/identity-integrations/README.md;features/dashboard/README.md,M4;M6,Discovery grant refresh revoke,implemented_local_acceptance,tests/integration/mcp-oauth.test.ts;tests/browser/connectors.spec.ts;apps/web/components/run-tools.tsx,Direct MCP and Composio fixture acceptance; each production OAuth application needs current provider consent.
R14,Caller specific authenticated connections,features/identity-integrations/README.md,M4,Delegated subject ownership isolation,implemented_local_acceptance,tests/integration/connections.test.ts;tests/integration/gateway.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R15,Web search browser shell native tools,features/execution/README.md;features/identity-integrations/README.md,M4,Fixture broker and sandbox tool tests,implemented_with_documented_launch_boundary,tests/integration/tool-broker.test.ts;tests/fixtures/stdio-native.mjs;tests/fixtures/native-mock.mjs,Web search and native shell/tools implemented. Visual browser automation and a browser desktop are extension scope.
R16,Accounts organizations verified auth API keys,architecture/README.md;features/identity-integrations/README.md,M1,Two tenant signup revoke scope tests,implemented_local_acceptance,tests/browser/authentication.spec.ts;tests/browser/security.spec.ts;tests/browser/team.spec.ts;tests/integration/auth-limits.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R17,BYOK and managed funding,features/billing/README.md,M5,No silent fallback,implemented_local_acceptance,tests/integration/gateway.test.ts;tests/integration/billing.test.ts,Live provider credentials and managed funding are operator inputs.
R18,Prepaid and subscriptions,features/billing/README.md,M5,Stripe fixture and test mode,implemented_local_acceptance,tests/integration/billing.test.ts,Real Stripe signature verifier with intercepted HTTP. Operator must configure prices and test/live accounts.
R19,Limits reservations tokens accounting,features/billing/README.md,M5,Parallel budget and unknown usage,implemented_local_acceptance,tests/integration/scale.test.ts;tests/integration/billing.test.ts;tests/integration/maintenance.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R20,API request data table,features/operations/README.md,M1;M7,Attempt vs run vs incomplete request,implemented_local_acceptance,tests/integration/reporting.test.ts;tests/browser/operator.spec.ts,See the implementation record for local evidence and the launch guide for production configuration.
R21,User growth human DAU WAU MAU,features/operations/README.md,M7,Known human and service fixture counts,implemented_local_acceptance,tests/integration/growth.test.ts;tests/integration/reporting.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R22,Activation retention product metrics,features/operations/README.md,M7,Cohort late data rebuild,implemented_local_acceptance,tests/integration/growth.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R23,Total requests tokens by account provider,features/operations/README.md,M7,No token subset double count,implemented_local_acceptance,tests/integration/reporting.test.ts;tests/integration/gateway.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R24,Operator infrastructure accounts metrics API,features/operations/README.md,M7,Scoped projections and stale data,implemented_with_documented_launch_boundary,tests/integration/reporting.test.ts;tests/browser/operator.spec.ts,Platform queue/storage/account facts implemented; automatic vendor CPU/quota/invoice readers are not implemented.
R25,Read only management MCP,features/operations/README.md,M7,MCP discovery auth scope contracts,implemented_local_acceptance,tests/integration/reporting.test.ts;docs/api/admin-mcp.json,See the implementation record for local evidence and the launch guide for production configuration.
R26,Agent readable deterministic operating reports,features/operations/README.md,M7,Daily weekly report no inference,implemented_local_acceptance,tests/integration/growth.test.ts;packages/core/src/reports.ts,See the implementation record for local evidence and the launch guide for production configuration.
R27,Capacity recommendations without mutations,features/operations/README.md;operations/hosting.md,M7,Threshold sample insufficient data tests,implemented_with_documented_launch_boundary,tests/integration/maintenance.test.ts;packages/core/src/reports.ts,Read-only evidence-based recommendations. No automatic infrastructure resize or provider quota discovery.
R28,Modern dashboard and good API UX,features/api/README.md;features/dashboard/README.md,M6,Accessible complete user journey,implemented_local_acceptance,tests/browser;tests/cli/terminal.test.ts;docs/api/openapi.json,See the implementation record for local evidence and the launch guide for production configuration.
R29,Portable trusted modern dependencies,architecture/README.md;architecture/research.md,M0,Pinned licenses image review,delivered_operator_review_required,pnpm-lock.yaml;docs/dependency-licenses.csv;docs/engineering/dependencies.md,Point-in-time package audit has zero known production findings; bundled vendor binary terms require operator review.
R30,Easy managed hosting deployment,operations/hosting.md,M8,Fresh environment rehearsal,delivered_operator_review_required,scripts/test-install.ts;scripts/test-standalone.ts;infra/control-plane.Dockerfile,Local standalone builds and restore accepted; DNS/service accounts and live Vercel promotion are manual.
R31,Scale Functions workflows sandboxes database,operations/hosting.md,M8,Simulated load admission fairness pooled connections and provider limits,implemented_local_acceptance,tests/integration/scale.test.ts;tests/integration/cloud.test.ts,Concurrent admission isolation verified locally; production throughput and account quotas require a staged load pilot.
R32,250 to 350 initial budget estimate,features/billing/README.md,M5;M8,Estimator arithmetic verified,delivered_operator_review_required,scripts/estimate-costs.py;tests/test_costs.py;docs/cost-scenarios.csv,Base editable 1000-run scenario fits the initial target; high scenario exceeds it. Not a guaranteed invoice or margin.
R33,Comprehensive docs and full API reference,../README.md;features/api/README.md;engineering/delivery.md,M8,Contracts clients guides drift checks,implemented_local_acceptance,docs/api/openapi.json;tests/unit/sdk.test.ts;README.md,See the implementation record for local evidence and the launch guide for production configuration.
R34,Open source Apache2 contributors agent guides,architecture/research.md;engineering/delivery.md,M0;M8,License notices fork safe CI,implemented_local_acceptance,LICENSE;NOTICE;CONTRIBUTING.md;AGENTS.md;.github/workflows/verify.yml,See the implementation record for local evidence and the launch guide for production configuration.
R35,Name decoupling and twenty brands,product/naming.md;engineering/delivery.md,M0;M8,Brand config and collision evidence,delivered_operator_review_required,packages/cli/src/settings.ts;docs/product/naming.md;.env.example,Twenty names brainstormed; no trademark or domain availability clearance is claimed.
R36,Free end to end tests no paid calls,engineering/delivery.md,M0-M8,Provider evidence matrix,implemented_local_acceptance,docs/status/README.md;.github/workflows/verify.yml,See the implementation record for local evidence and the launch guide for production configuration.
R37,Manual account configuration handoff,operations/hosting.md,M8,Inputs callbacks DNS secrets checklist,delivered_operator_review_required,docs/operations/launch-guide.md;docs/operations/deployment.md,Exact configuration and acceptance steps documented; no cloud accounts/resources were created.
R38,Failure recovery checkpoints webhooks jobs,features/execution/README.md;features/workspaces/README.md;operations/hosting.md,M2;M3;M8,Crash restore and reconciliation tests,implemented_local_acceptance,tests/integration/cloud.test.ts;scripts/test-install.ts;tests/integration/webhooks.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R39,Reviewed reputable source patterns,architecture/research.md,M0;M8,Citations and design decisions,implemented_local_acceptance,docs/architecture/research.md;docs/architecture/decisions.md,See the implementation record for local evidence and the launch guide for production configuration.
R40,No secrets or customer content in admin analytics,features/identity-integrations/README.md;features/operations/README.md,M1;M7,PII scopes redaction and audit,implemented_local_acceptance,tests/integration/reporting.test.ts;tests/integration/growth.test.ts;packages/db/023_metadata_retention.sql,See the implementation record for local evidence and the launch guide for production configuration.
R41,Landing pricing public documentation,features/dashboard/README.md;engineering/delivery.md,M6;M8,Public navigation and accurate pricing,implemented_local_acceptance,tests/browser/public.spec.ts;apps/web/components/marketing.tsx,See the implementation record for local evidence and the launch guide for production configuration.
R42,Optional external analytics shortcut,features/operations/README.md,M7,PostHog disabled by default and outbox dedup,implemented_local_acceptance,tests/integration/analytics-export.test.ts;packages/providers/src/posthog.ts,Disabled by default. Metadata-only local HTTP fixture; operator owns vendor pricing and consent.
R43,Vercel-first deploy behind replaceable providers,architecture/README.md;operations/hosting.md;architecture/portability.md,M0;M2;M4;M8,One production adapter per boundary plus standalone fixture proof,implemented_with_documented_launch_boundary,infra/control-plane.Dockerfile;tests/integration/cloud.test.ts;docs/architecture/portability.md,Vercel compute adapter plus standalone poller/control plane. No second live compute vendor is implemented.
R44,Provider-independent files sessions history and migration,features/workspaces/README.md;architecture/portability.md,M3;M8,Export restore verify rebind and rollback without public ID change,implemented_with_documented_launch_boundary,scripts/test-install.ts;tests/integration/archives.test.ts;docs/architecture/portability.md,Portable file/Git/native-home restoration verified. Cross-vendor memory snapshots and one-click migration are excluded.
R45,CLI device login profiles and safe project linking,features/identity-integrations/README.md;features/cli/README.md,M1;M6a,Device flow scopes rotation trusted origins no implicit upload,implemented_local_acceptance,tests/cli/terminal.test.ts;tests/browser/authentication.spec.ts,See the implementation record for local evidence and the launch guide for production configuration.
R46,Remote worktrees optional true local Git worktrees,features/workspaces/README.md;features/cli/README.md,M3;M6a,Pinned source isolated clone export hash local checkout collision handling,implemented_local_acceptance,tests/cli/terminal.test.ts;tests/unit/local-paths.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R47,Interactive remote chat resumable streaming queued follow-ups,features/execution/README.md;features/cli/README.md,M2;M6a,PTY input queue expiry replay Ctrl-C detach tests,implemented_local_acceptance,scripts/test-terminal.py;tests/cli/terminal.test.ts;tests/fixtures/native-mock.mjs,See the implementation record for local evidence and the launch guide for production configuration.
R48,Explicit local remote file transfer conflict prevention,features/workspaces/README.md;features/api/README.md;features/cli/README.md,M3;M6a,Dry-run manifests staged push partial pull no silent overwrite,implemented_local_acceptance,tests/cli/terminal.test.ts;tests/integration/platform.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R49,CLI JSON JSONL exits releases and cross-platform installs,operations/hosting.md;features/cli/README.md;api/cli.json,M6a;M8,Subprocess tarball installs ANSI-free schemas provenance,implemented_with_documented_launch_boundary,scripts/test-packages.ts;tests/cli/terminal.test.ts;docs/api/cli.json,macOS/Linux initial targets. Windows verification and registry provenance/publishing require release work.
R50,Vercel-specific costs and strict direct BYOK funding,features/identity-integrations/README.md;features/billing/README.md,M4;M5;M8,Decimal estimator no Gateway customer-key fallback,implemented_local_acceptance,tests/test_costs.py;tests/integration/gateway.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R51,CLI dashboard handoff and honest human usage metrics,features/dashboard/README.md;features/operations/README.md;features/cli/README.md,M6;M6a;M7,Shared run transfer history foreground vs automation attribution,implemented_local_acceptance,apps/web/components/projects.tsx;tests/integration/reporting.test.ts;tests/cli/terminal.test.ts,CLI copy handoff and shared sessions/history implemented; no local background synchronization.
R52,Three pricing tiers with configurable customer concurrency and runtime caps,features/billing/README.md;features/execution/scheduling.md,M5;M6,Plan boundaries owner authorization and subscription reconciliation,implemented_local_acceptance,packages/core/src/plans.ts;tests/integration/scheduling.test.ts;tests/integration/billing.test.ts;tests/browser/scheduling.spec.ts,Stripe account price and portal configuration plus test-mode subscription transitions require operator acceptance.
R53,Durable 24-hour queue fair organization scheduling and visible waiting,features/execution/scheduling.md;features/execution/workflow-history.md;features/api/README.md;features/cli/README.md,M2;M6;M6a;M7,Multi-worker PostgreSQL fairness expiry cancellation fund release and limits,implemented_local_acceptance,tests/load/scheduling.test.ts;tests/load/workflow-dispatch.test.ts;tests/integration/scheduling.test.ts;tests/unit/workflow-history.test.ts;tests/unit/workflow-sdk-history.test.ts,Local 8-slot mixed traffic and 50-slot cohort verified; progressive cloud quota and latency acceptance remain manual.
R54,Shared best-effort dashboard freshness across API workers and browser tabs,features/dashboard/live-refresh.md,M6,Committed cross-process changes tenant revocation bounded refresh and reconnect reconciliation,implemented_local_acceptance,tests/unit/dashboard-freshness.test.ts;tests/integration/dashboard-freshness.test.ts;tests/browser/dashboard-freshness.spec.ts,Vercel buffering duration pooled Neon behavior and open-tab capacity costs require staging acceptance.
